BACIA,SUBBACIA,ÁREA,L_TALVEGUE,S_TALVEGUE,ID_JUSANTE,VERF_SB,VERF_A,VERF_L,VERF_S
BACIA 01 (PRÉ)),SB02,220489.4223561661,107.06644955767571,0.08879459119396794,D22.2-B2,OK,OK,OK,OK
BACIA 02,SB08,7093.397362661906,126.31885094428534,0.10732058106829434,D26.1-B2,OK,OK,OK,OK
BACIA 02,SB10,5661.2921698146265,92.48902637067306,0.0849170167935666,D27.1-B2,OK,OK,OK,OK
BACIA 02,SB22,3326.700712294448,87.82591260298008,0.12400492371665751,D12.1-B2,OK,OK,OK,OK
BACIA 02,SB23,338.9211060143513,21.64280274869005,0.15304786058486816,D09.4-B2,OK,OK,OK,OK
BACIA 02,SB04,9509.511980921778,213.16515153567485,0.056710021502791655,D22.3-B2,OK,OK,OK,OK
BACIA 02,SB13,6988.538384859425,164.43971078640396,0.1175852181803938,D09.3-B2,OK,OK,OK,OK
BACIA 02,SB09,1578.7469516457047,51.09270077389904,0.10349492099694362,D25.3-B2,OK,OK,OK,OK
BACIA 02,SB12,1309.7338180636652,78.7432202083007,0.12286735491623894,D09.2-B2,OK,OK,OK,OK
BACIA 02,SB14,695.2326044215567,39.97453584744821,0.13430866626841104,D09.3-B2,OK,OK,OK,OK
BACIA 02,SB15,2501.108019484517,76.712581211249,0.14307933721942204,D10.1-B2,OK,OK,OK,OK
BACIA 02,,900.3107306040836,63.53467080649686,0.14816335666264432,D14.1-B2,REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO MTEXT DO ID DA SUBBACIA.,OK,OK,OK
BACIA 02,SB20,1305.2519861110097,62.804795568475214,0.1779995435922398,D13.2-B2,OK,OK,OK,OK
BACIA 02,SB27,4018.01658348752,84.12056217124899,0.05739550224529895,D17.1-B2,OK,OK,OK,OK
BACIA 02,SB28,2059.569544409732,76.2991310110316,0.05595745812815375,D17.2-B2,OK,OK,OK,OK
BACIA 02,SB03,7649.797377632192,62.640794936488845,0.08339700206508503,D23.1-B2,OK,OK,OK,OK
BACIA 02,SB05,6069.053589935548,88.7913097419062,0.05470889037902113,D22.4-B2,OK,OK,OK,OK
BACIA 02,SB26,10456.061302971626,108.00011579009406,0.058618966875312394,D28.2-B2,OK,OK,OK,OK
BACIA 03,SB02,5916.480239013816,100.27549587823853,0.13084847931801202,D02.1-B2,OK,OK,OK,OK
BACIA 03,SB03,3453.711591756286,78.86690146226528,0.12154472331910003,D03.1-B2,OK,OK,OK,OK
BACIA 03,SB08,2583.316489841513,75.51974633962384,0.12856228945253226,D05.1-B2,OK,OK,OK,OK
BACIA 03,SB07,2850.488271181872,107.56588593143331,0.11561571248610746,D02.4-B2,OK,OK,OK,OK
BACIA 03,SB04,1915.4886086747379,68.77537581824615,0.14873236086692276,D02.2-B2,OK,OK,OK,OK
BACIA 03,SB05,2884.8414444991517,62.587464540842774,0.16864123063244696,D04.1-B2,OK,OK,OK,OK
BACIA 03,SB06,1140.3250140759226,56.2993119847804,0.10025674796088205,D02.3-B2,OK,OK,OK,OK
BACIA 03,SB10,2591.13302366942,115.54832910044033,0.11207567506270423,D05.2-B2,OK,OK,OK,OK
BACIA 03,SB11,1942.1453096054238,91.50751749808731,0.11970861459170608,D07.1-B2,OK,OK,OK,OK
BACIA 03,SB09,2477.705355485557,84.92151519656814,0.09758258806050588,D06.1-B2,OK,OK,OK,OK
BACIA 03,SB12,2908.41814317513,91.0383414510598,0.0781662395406055,D05.3-B2,OK,OK,OK,OK
BACIA 03,SB13,3344.48892683292,68.28466863214132,0.09213773294369358,D05.4-B2,OK,OK,OK,OK
BACIA 03,,5307.732349070327,,,D29.1-B2,REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO MTEXT DO ID DA SUBBACIA.,OK;OK,"REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO TALVEGUE, CONFIRMAR SE ESTÁ CONTIDO TOTALMENTE NA HACHURA. CONFIRMAR SE EXISTE TALVEGUE.","REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO TALVEGUE, CONFIRMAR SE ESTÁ CONTIDO TOTALMENTE NA HACHURA. CONFIRMAR SE EXISTE TALVEGUE."
BACIA 05,SB01,3357.5300338105153,93.64574133712625,0.14903815016384148,D16.1-B2,OK,OK,OK,OK
BACIA 05,SB02,7256.634525479747,133.04028072776947,0.10987902701169716,D16.2-B2,OK,OK,OK,OK
BACIA 02,SB01,3985.0869684989543,85.0786242277368,0.10929705163310603,D22.1-B2,OK,OK,OK,OK
BACIA 02,SB02,7530.106053615067,107.06644955767571,0.08879459119396794,D22.2-B2,OK,OK,OK,OK
BACIA 02,SB06,13651.017341024743,302.1006257226,0.09136262357465035,D25.1-B2,OK,OK,OK,OK
BACIA 02,SB07,1817.1462601982057,57.54963813612275,0.08489637489810892,D25.2-B2,OK,OK,OK,OK
BACIA 02,SB11,4596.423983230818,,,D29.1-B2,OK,OK,"REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO TALVEGUE, CONFIRMAR SE ESTÁ CONTIDO TOTALMENTE NA HACHURA. CONFIRMAR SE EXISTE TALVEGUE.","REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO TALVEGUE, CONFIRMAR SE ESTÁ CONTIDO TOTALMENTE NA HACHURA. CONFIRMAR SE EXISTE TALVEGUE."
